,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Manchester City,98,72,95,23,32,2,4
Liverpool,97,67,89,22,30,7,1
Chelsea,72,24,63,39,21,9,8
Tottenham,71,28,67,39,23,2,13
Arsenal,70,22,73,51,21,7,10
Manchester Utd,66,11,65,54,19,9,10
Wolves,57,1,47,46,16,9,13
Everton,54,8,54,46,15,9,14
West Ham,52,-3,52,55,15,7,16
Leicester,52,3,51,48,15,7,16
Watford,50,-7,52,59,14,8,16
Crystal Palace,49,-2,51,53,14,7,17
Newcastle,45,-6,42,48,12,9,17
Bournemouth,45,-14,56,70,13,6,19
Burnley,40,-23,45,68,11,7,20
Southampton,39,-20,45,65,9,12,17
Brighton,36,-25,35,60,9,9,20
Cardiff,34,-35,34,69,10,4,24
Fulham,26,-47,34,81,7,5,26
Huddersfield,16,-54,22,76,3,7,28
