,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Manchester City,100,79,106,27,32,4,2
Manchester Utd,81,40,68,28,25,6,7
Tottenham,77,38,74,36,23,8,7
Liverpool,75,46,84,38,21,12,5
Chelsea,70,24,62,38,21,7,10
Arsenal,63,23,74,51,19,6,13
Burnley,54,-3,36,39,14,12,12
Everton,49,-14,44,58,13,10,15
Leicester,47,-4,56,60,12,11,15
Newcastle,44,-8,39,47,12,8,18
Bournemouth,44,-16,45,61,11,11,16
Crystal Palace,44,-10,45,55,11,11,16
West Ham,42,-20,48,68,10,12,16
Watford,41,-20,44,64,11,8,19
Brighton,40,-20,34,54,9,13,16
Huddersfield,37,-30,28,58,9,10,19
Southampton,36,-19,37,56,7,15,16
Swansea,33,-28,28,56,8,9,21
Stoke,33,-33,35,68,7,12,19
West Brom,31,-25,31,56,6,13,19
